teams_ordered,champion,champ_points,champ_margin,year
"['PSV Eindhoven', 'AZ Alkmaar', 'Feyenoord', 'AFC Ajax', 'FC Groningen', 'FC Utrecht', 'sc Heerenveen', 'Roda JC Kerkrade', 'FC Twente', 'NEC Nijmegen', 'Vitesse', 'RKC Waalwijk', 'Heracles Almelo', 'Sparta Rotterdam', 'ADO Den Haag', 'NAC Breda', 'Willem II', 'RBC Roosendaal']",PSV Eindhoven,84,10,2005-2006
"['PSV Eindhoven', 'AFC Ajax', 'AZ Alkmaar', 'FC Twente', 'sc Heerenveen', 'Roda JC Kerkrade', 'Feyenoord', 'FC Groningen', 'FC Utrecht', 'NEC Nijmegen', 'NAC Breda', 'Vitesse', 'Sparta Rotterdam', 'Heracles Almelo', 'Willem II', 'SBV Excelsior', 'RKC Waalwijk', 'ADO Den Haag']",PSV Eindhoven,75,0,2006-2007
"['PSV Eindhoven', 'AFC Ajax', 'NAC Breda', 'FC Twente', 'sc Heerenveen', 'Feyenoord', 'FC Groningen', 'NEC Nijmegen', 'Roda JC Kerkrade', 'FC Utrecht', 'AZ Alkmaar', 'Vitesse', 'Sparta Rotterdam', 'Heracles Almelo', 'Willem II', 'De Graafschap', 'VVV-Venlo', 'SBV Excelsior']",PSV Eindhoven,72,3,2007-2008
"['AZ Alkmaar', 'FC Twente', 'AFC Ajax', 'PSV Eindhoven', 'sc Heerenveen', 'FC Groningen', 'Feyenoord', 'NAC Breda', 'FC Utrecht', 'Vitesse', 'NEC Nijmegen', 'Willem II', 'Sparta Rotterdam', 'ADO Den Haag', 'Heracles Almelo', 'Roda JC Kerkrade', 'De Graafschap', 'FC Volendam']",AZ Alkmaar,80,11,2008-2009
"['FC Twente', 'AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'AZ Alkmaar', 'Heracles Almelo', 'FC Utrecht', 'FC Groningen', 'Roda JC Kerkrade', 'NAC Breda', 'sc Heerenveen', 'VVV-Venlo', 'NEC Nijmegen', 'Vitesse', 'ADO Den Haag', 'Sparta Rotterdam', 'Willem II', 'RKC Waalwijk']",FC Twente,86,1,2009-2010
"['AFC Ajax', 'FC Twente', 'PSV Eindhoven', 'AZ Alkmaar', 'FC Groningen', 'Roda JC Kerkrade', 'ADO Den Haag', 'Heracles Almelo', 'FC Utrecht', 'Feyenoord', 'NEC Nijmegen', 'sc Heerenveen', 'NAC Breda', 'De Graafschap', 'Vitesse', 'SBV Excelsior', 'VVV-Venlo', 'Willem II']",AFC Ajax,73,2,2010-2011
"['AFC Ajax', 'Feyenoord', 'PSV Eindhoven', 'AZ Alkmaar', 'sc Heerenveen', 'FC Twente', 'Vitesse', 'NEC Nijmegen', 'RKC Waalwijk', 'Roda JC Kerkrade', 'FC Utrecht', 'Heracles Almelo', 'NAC Breda', 'FC Groningen', 'ADO Den Haag', 'VVV-Venlo', 'De Graafschap', 'SBV Excelsior']",AFC Ajax,76,6,2011-2012
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'Vitesse', 'FC Utrecht', 'FC Twente', 'FC Groningen', 'sc Heerenveen', 'ADO Den Haag', 'AZ Alkmaar', 'PEC Zwolle', 'Heracles Almelo', 'NAC Breda', 'RKC Waalwijk', 'NEC Nijmegen', 'Roda JC Kerkrade', 'VVV-Venlo', 'Willem II']",AFC Ajax,76,7,2012-2013
"['AFC Ajax', 'Feyenoord', 'FC Twente', 'PSV Eindhoven', 'sc Heerenveen', 'Vitesse', 'FC Groningen', 'AZ Alkmaar', 'ADO Den Haag', 'FC Utrecht', 'PEC Zwolle', 'SC Cambuur', 'Go Ahead Eagles', 'Heracles Almelo', 'NAC Breda', 'RKC Waalwijk', 'NEC Nijmegen', 'Roda JC Kerkrade']",AFC Ajax,71,4,2013-2014
"['PSV Eindhoven', 'AFC Ajax', 'AZ Alkmaar', 'Feyenoord', 'Vitesse', 'PEC Zwolle', 'sc Heerenveen', 'FC Groningen', 'Willem II', 'FC Twente', 'FC Utrecht', 'SC Cambuur', 'ADO Den Haag', 'Heracles Almelo', 'SBV Excelsior', 'NAC Breda', 'Go Ahead Eagles', 'FC Dordrecht']",PSV Eindhoven,88,17,2014-2015
"['PSV Eindhoven', 'AFC Ajax', 'Feyenoord', 'AZ Alkmaar', 'FC Utrecht', 'Heracles Almelo', 'FC Groningen', 'PEC Zwolle', 'Vitesse', 'NEC Nijmegen', 'ADO Den Haag', 'sc Heerenveen', 'FC Twente', 'Roda JC Kerkrade', 'SBV Excelsior', 'Willem II', 'De Graafschap', 'SC Cambuur']",PSV Eindhoven,84,2,2015-2016
"['Feyenoord', 'AFC Ajax', 'PSV Eindhoven', 'FC Utrecht', 'Vitesse', 'AZ Alkmaar', 'FC Twente', 'FC Groningen', 'sc Heerenveen', 'Heracles Almelo', 'ADO Den Haag', 'SBV Excelsior', 'Willem II', 'PEC Zwolle', 'Sparta Rotterdam', 'NEC Nijmegen', 'Roda JC Kerkrade', 'Go Ahead Eagles']",Feyenoord,82,1,2016-2017
"['PSV Eindhoven', 'AFC Ajax', 'AZ Alkmaar', 'Feyenoord', 'FC Utrecht', 'Vitesse', 'ADO Den Haag', 'sc Heerenveen', 'PEC Zwolle', 'Heracles Almelo', 'SBV Excelsior', 'FC Groningen', 'Willem II', 'NAC Breda', 'VVV-Venlo', 'Roda JC Kerkrade', 'Sparta Rotterdam', 'FC Twente']",PSV Eindhoven,83,4,2017-2018
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'AZ Alkmaar', 'Vitesse', 'FC Utrecht', 'Heracles Almelo', 'FC Groningen', 'ADO Den Haag', 'Willem II', 'sc Heerenveen', 'VVV-Venlo', 'PEC Zwolle', 'FC Emmen', 'Fortuna Sittard', 'SBV Excelsior', 'De Graafschap', 'NAC Breda']",AFC Ajax,86,3,2018-2019
"['AFC Ajax', 'AZ Alkmaar', 'Feyenoord', 'PSV Eindhoven', 'Willem II', 'FC Utrecht', 'Vitesse', 'Heracles Almelo', 'FC Groningen', 'sc Heerenveen', 'Sparta Rotterdam', 'FC Emmen', 'VVV-Venlo', 'FC Twente', 'PEC Zwolle', 'Fortuna Sittard', 'ADO Den Haag', 'RKC Waalwijk']",AFC Ajax,56,0,2019-2020
"['AFC Ajax', 'PSV Eindhoven', 'AZ Alkmaar', 'Vitesse', 'Feyenoord', 'FC Utrecht', 'FC Groningen', 'Sparta Rotterdam', 'Heracles Almelo', 'FC Twente', 'Fortuna Sittard', 'sc Heerenveen', 'PEC Zwolle', 'Willem II', 'RKC Waalwijk', 'FC Emmen', 'VVV-Venlo', 'ADO Den Haag']",AFC Ajax,88,16,2020-2021
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'FC Twente', 'AZ Alkmaar', 'Vitesse', 'FC Utrecht', 'sc Heerenveen', 'SC Cambuur', 'RKC Waalwijk', 'NEC Nijmegen', 'FC Groningen', 'Go Ahead Eagles', 'Sparta Rotterdam', 'Fortuna Sittard', 'Heracles Almelo', 'Willem II', 'PEC Zwolle']",AFC Ajax,83,2,2021-2022
"['Feyenoord', 'PSV Eindhoven', 'AFC Ajax', 'AZ Alkmaar', 'FC Twente', 'Sparta Rotterdam', 'FC Utrecht', 'sc Heerenveen', 'RKC Waalwijk', 'Vitesse', 'Go Ahead Eagles', 'NEC Nijmegen', 'Fortuna Sittard', 'FC Volendam', 'SBV Excelsior', 'FC Emmen', 'SC Cambuur', 'FC Groningen']",Feyenoord,82,7,2022-2023
